gene_name,max(statistic),min(pValue),max(delta_af_abs)
EXTL1,14.750740665438842,1.226993171796753E-4,0.059468999999999994
TACO1-MAP3K3,19.6981521756177,9.068901432263132E-6,0.06979500000000002
SLC16A8,7.200656686294429,0.0072876908617248715,0.07230800000000004
BVES-AS1,14.750740665438842,1.226993171796753E-4,0.044063000000000005
ANGPTL4,14.750740665438842,1.226993171796753E-4,0.06916299999999997
FOXRED2-EIF3D,14.750740665438842,1.226993171796753E-4,0.023315000000000002
LOC101929123,14.750740665438842,1.226993171796753E-4,0.044501999999999986
MIR548A2,8.889036133430762,0.002868881420476699,0.01925099999999999
ZC3HC1-KLHDC10,8.889036133430762,0.002868881420476699,0.05072199999999999
SUPT20HL2-SUPT20HL1,5.984754830826602,0.014430048241337312,0.03913299999999999
EFCAB7,19.6981521756177,9.068901432263132E-6,0.09614500000000004
UBQLN3-UBQLNL,3.240027481942329,0.07185943284574503,0.05125799999999997
CD14,9.378551181247824,0.002195389947252213,0.08434999999999998
CSRNP2-TFCP2,3.1629395915933842,0.07532743069871928,0.04008100000000003
LRR1-RPL36AL,2.602918610000149,0.10666711749449309,0.037746
THAP7-AS1,14.750740665438842,1.226993171796753E-4,0.02271099999999998
SNORD77,4.994173545226149,0.02543279633816309,0.07477900000000004
LINC00888,12.889317595869427,3.304629007777615E-4,0.02584200000000003
GUSBP5-FREM3,2.6271743737038635,0.10504851186723063,0.05463499999999999
IFNLR1-LOC284632,9.303992853867074,0.002286549705343033,0.06445299999999998
RTP2,4.914977964058025,0.026624802824320115,0.05846600000000002
CNOT2-KCNMB4,9.367521483569558,0.0022086396224439975,0.045573
MIR4664,5.984754830826602,0.014430048241337312,0.03298100000000001
PPP2R5A-TMEM206,1.821295585346929,0.17715913705435404,0.03322900000000001
IKZF3-ZPBP2,0.8610326450210372,0.35344987451095033,0.03237800000000007
MIR637,7.87451021790475,0.005013644874501733,0.020279999999999992
SPANXN5-XAGE5,1.717923839522492,0.18996051188396734,0.010614
NTHL1-TSC2,0.0,1.0,0.00173
MIR1184-1,5.984754830826602,0.014430048241337312,0.01874200000000001
YEATS2-MAP6D1,1.868961063497209,0.1715941176324235,0.01919599999999999
PCYT1A-TCTEX1D2,3.1629395915933842,0.07532743069871928,0.03203400000000001
PRPF4B-FAM217A,14.750740665438842,1.226993171796753E-4,0.05629700000000004
TSTD1-USF1,0.1397252969675814,0.7085542570962347,0.006523000000000001
NBR2,8.455906047967396,0.0036385994229614083,0.09019899999999997
HSD11B2-ATP6V0D1,0.009971383288608278,0.9204580024084772,0.003351
FBXL18-LOC221946,0.04185331549186916,0.8378996350392155,0.008802000000000032
TBX6-YPEL3,9.557726186811838,0.001991095880002014,0.013566000000000002
FBXO2,9.471441296821814,0.0020869533995684364,0.082565
RSC1A1-PLEKHM2,6.046608559299996,0.01393303342059371,0.05055800000000002
LINC01343-RRAGC,21.31163646840401,3.903547500794247E-6,0.09252000000000005
JAK1,10.29932027345247,0.0013307921967061764,0.09114700000000003
LHX8-SLC44A5,10.621680658767408,0.0011176941687487396,0.031142000000000003
C1orf145,14.750740665438842,1.226993171796753E-4,0.05208199999999999
AASDHPPT,6.577344666925208,0.010328485663936515,0.08448699999999998
ZDHHC17,15.86917101221064,6.787542862440876E-5,0.078596
DCN,14.750740665438842,1.226993171796753E-4,0.07267800000000002
OASL-P2RX7,14.750740665438842,1.226993171796753E-4,0.06581199999999998
ENOX1,20.7502012949364,5.232607854455118E-6,0.11179699999999992
CPB2,19.6981521756177,9.068901432263132E-6,0.04393899999999995
DLEU7,14.750740665438842,1.226993171796753E-4,0.07161999999999996
LINC00452,6.216119093375825,0.012659230530113974,0.05614600000000003
PCNX,14.866323290804829,1.1540500781148655E-4,0.08064199999999999
MYO5A,17.36077212067979,3.091410730160504E-5,0.07996899999999998
TMC7,17.36077212067979,3.091410730160504E-5,0.06287399999999999
MAF-MAFTRR,19.6981521756177,9.068901432263132E-6,0.067886
WBP2,14.750740665438842,1.226993171796753E-4,0.023932999999999982
LINC00159-MIS18A,17.693058911863336,2.5957205763149638E-5,0.059757000000000005
SYNJ1,21.91499052238742,2.849989135023101E-6,0.06373899999999999
CSRNP1,16.36830631146417,5.21500030925548E-5,0.08900500000000006
KBTBD12-SEC61A1,14.750740665438842,1.226993171796753E-4,0.10647000000000006
P3H2,23.19673618968189,1.4624532476137375E-6,0.07763500000000001
LOC728040,14.750740665438842,1.226993171796753E-4,0.057381000000000015
LOC101928978,14.750740665438842,1.226993171796753E-4,0.08283900000000005
CTSO,17.36077212067979,3.091410730160504E-5,0.04905999999999999
CTD-2297D10.2,8.407209834911022,0.0037373581586096494,0.087397
OR14J1-OR5V1,5.984754830826602,0.014430048241337312,0.03619499999999998
PRPS1L1-HDAC9,14.750740665438842,1.226993171796753E-4,0.035522
GOT1L1-ADRB3,8.646557385985412,0.0032767991962210363,0.028176000000000034
LOC286238-MIR4289,14.750740665438842,1.226993171796753E-4,0.06542799999999999
ROR2,14.809684331824005,1.1892322516637854E-4,0.07699
CDC14B,14.750740665438842,1.226993171796753E-4,0.06957500000000005
AKNA,5.984754830826602,0.014430048241337312,0.07300699999999999
MSL3-FRMPD4,14.750740665438842,1.226993171796753E-4,0.088372
MIR652,5.984754830826602,0.014430048241337312,0.023232999999999948
FMO9P,7.604220527616355,0.005823183227972928,0.03905099999999999
ZNF692,8.889036133430762,0.002868881420476699,0.014485999999999999
LOC102724663,17.36077212067979,3.091410730160504E-5,0.056790999999999925
CLLU1,10.491416356003382,0.0011993040039089964,0.08735600000000004
LINC00380-LINC00379,5.984754830826602,0.014430048241337312,0.057259000000000004
GPC5-AS1,14.750740665438842,1.226993171796753E-4,0.02571799999999999
COG8,14.750740665438842,1.226993171796753E-4,0.052535
PLSCR3,5.984754830826602,0.014430048241337312,0.07289800000000002
CCL11-CCL8,12.889317595869427,3.304629007777615E-4,0.04771500000000006
RAMP2-VPS25,1.0533563274180704,0.3047353589056476,0.02287599999999998
CCL25,8.889036133430762,0.002868881420476699,0.05383899999999997
PRR21,12.93852164024272,3.2188911439723356E-4,0.076935
ERG-LINC00114,8.889036133430762,0.002868881420476699,0.07330999999999999
TMED7,2.1930306266268245,0.13863629904565744,0.05037900000000001
RANBP17-TLX3,7.3901250851116975,0.00655829276657971,0.06246200000000002
HCG25,2.334222851591548,0.1265581374029764,0.026213
PLAGL1-SF3B5,8.206348183700936,0.004174408034311017,0.09135199999999999
LINC01299,14.901112468158521,1.1329615376731716E-4,0.09008899999999997
SPIN1,14.750740665438842,1.226993171796753E-4,0.031155000000000002
LOC101928797-TLR4,14.750740665438842,1.226993171796753E-4,0.05290500000000001
EFNA3,14.750740665438842,1.226993171796753E-4,0.03462900000000002
RHOF,8.889036133430762,0.002868881420476699,0.05607800000000007
ADAM11-GJC1,5.984754830826602,0.014430048241337312,0.043431
UHRF1-KDM4B,4.277622123214089,0.038617337361321225,0.044558000000000014
