object_id	entrez_id
-1885566894	64689
6162	60
-107090757	60
826	60
-174000029	60
2252	60
-466200140	60
-266723849	5348
4061	54476
-947814358	7517
-772710073	54437
-87168780	2841
-410831179	5176
-939429663	6426
-978733335	5631
-1592760836	5631
-76320202	2569
292	2569
-225849279	2132
-1943052930	2132
-158543848	54903
-569939210	27165
9065	6195
688	6195
-215524120	7102
-1857355015	2937
-18179758	63977
-695041192	5151
-1359956840	5151
-1353779734	9262
-322004319	9543
-1909670441	4850
-1429279592	3612
-1721004314	114088
-1801366028	51666
-1065393593	11104
-309925666	8034
-1180387581	6364
6217	2898
1009	2898
977	2898
482	4193
-479793977	7695
2307	8038
-1000337887	115111
5308	4831
-1123269132	4831
-1243894635	10476
-1267474505	10476
-2020007960	10476
-864317545	81488
-570656876	11081
-664185236	8464
-1586962884	8464
-2129391162	8464
-299473055	91975
-1235442056	59067
8126	1811
287	2793
-701660270	2793
-1174054374	2793
-1244542796	2793
-1391465728	118427
-1239914922	80704
1056	26683
-47290774	26683
4592	7051
2627	22821
-1848244953	4548
-1967421759	27340
1056	138805
-1378053720	138805
-389148944	51547
-1997348811	51547
-1267474505	10632
-1625333803	10632
-2020007960	10632
-109869126	10801
-2070145139	27094
-1251331140	9287
-1936514150	56302
-137539001	571
1056	26737
-185071846	26737
-243837070	4689
-909868650	4689
8151	623
2789	623
1168	5645
-1065738205	5645
6108	652
-1240262346	4298
-1887115558	1008
-281081077	2617
-80562270	10695
-2062710432	1358
-2090295583	1358
1056	219874
-1448222715	219874
-1469260737	1655
-1319686646	121643
-1345070119	25829
9221	2904
512	2904
-433330053	2904
-387925159	83715
5829	2026
-473238875	2026
49	375
4591	7084
1001	3837
-914865653	3837
-1943196471	23767
2330	9064
9277	10439
-1880205382	261729
4191	29
-1455096751	54979
-1908094858	94
-611042936	6505
-1256545549	5794
2936	2052
-365413886	10466
-2031931387	10466
-477354998	24144
2902	5801
6099	84676
123420463	26781
-2141622181	26781
2789	64106
-980672667	64106
-562505539	9476
-268868259	9154
-1529375560	10200
-1631499759	9537
-298367701	10495
-1601345375	51690
-1809766498	51690
-432030525	64328
-1565542839	1605
-2011830276	1605
-2052765350	84693
-1073389340	56945
-1874327990	56945
-251161825	10948
-525597814	5191
-1006294144	346708
-1764511154	343637
-1179674630	7106
-1143721788	5309
924	1072
-213605974	1072
-351465784	55929
-762123282	55929
-1132469052	9585
-924340293	26468
1104	5584
2568	5584
-692873726	65080
-1914845502	65080
-1924845815	8725
4590	6289
-1266176967	1421
-147152991	23588
1056	390321
-2094803646	140856
-1449626075	54055
-30582420	8824
-800091077	6160
-1008575830	6160
-1729591645	3737
-1218592784	27163
-278250267	8436
-1607050239	6748
-467907450	51548
-1997348811	51548
427	3667
2612	11183
